deployment_id,export_scope,session_id,dyad_id,sync_group_id,round_index,history_index,counted_round_index,round_counted,round_skipped,timeout_role,decision,offer,offer_fraction,accepted,proposer_id,responder_id,proposer_payoff,responder_payoff,dyad_round_score,proposer_cumulative_score,responder_cumulative_score,session_counted_rounds,session_timeout_count,session_status,completion_reason,round_events_json,round_state_json
repeated-ultimatum-game__mode=debug__launch=2026-06-11--14-34-14,regular,1,1,1,1,0,,false,true,proposer,timeout,,,,4,3,0,0,0,0,0,1,1,complete,Completed all counted rounds.,"[{""deadline"": ""2026-06-11T14:47:35.676269+00:00"", ""roles"": {""3"": ""responder"", ""4"": ""proposer""}, ""round_index"": 1, ""type"": ""round_started""}]","{""decision"": ""timeout"", ""offer"": null, ""payoffs"": {""3"": 0, ""4"": 0}, ""roles"": {""3"": ""responder"", ""4"": ""proposer""}, ""round_index"": 1, ""skipped"": true, ""timeout_role"": ""proposer"", ""totals"": {""3"": 0, ""4"": 0}}"
repeated-ultimatum-game__mode=debug__launch=2026-06-11--14-34-14,regular,1,1,1,2,1,1,true,false,,accept,4,0.4,true,4,3,6,4,10,6,4,1,1,complete,Completed all counted rounds.,"[{""deadline"": ""2026-06-11T14:49:39.048022+00:00"", ""roles"": {""3"": ""responder"", ""4"": ""proposer""}, ""round_index"": 2, ""type"": ""round_started""}, {""offer"": 4, ""participant_id"": 4, ""round_index"": 2, ""type"": ""offer_submitted""}, {""decision"": ""accept"", ""participant_id"": 3, ""round_index"": 2, ""type"": ""decision_submitted""}]","{""decision"": ""accept"", ""offer"": 4, ""payoffs"": {""3"": 4, ""4"": 6}, ""roles"": {""3"": ""responder"", ""4"": ""proposer""}, ""round_index"": 2, ""skipped"": false, ""totals"": {""3"": 4, ""4"": 6}}"
