dimension_order,vars,id,creation_time,failed,failed_reason,time_of_death,type,max_size,full,role,n_pending_infos,n_completed_infos,n_failed_infos,n_alive_nodes,n_failed_nodes,trial_maker_id,module_id,target_n_trials,participant_group,sync_group_type,sync_group_id,participant_id,async_post_grow_network_required,async_post_grow_network_requested,async_post_grow_network_complete,async_post_grow_network_failed,id_within_participant,n_all_trials,n_alive_trials,n_failed_trials,n_completed_trials,n_all_nodes,chain_type,head_id,trials_per_node,definition,context,block,class,object_type
"[0, 1, 2]",{},1,2026-06-11 10:07:34,False,,,CustomNetwork,2,False,default,0,1,0,1,0,gibbs_demo,gibbs_demo,4,A,,,,True,False,False,False,,1,1,0,1,1,across,1,2,{},"{""target"": ""tree""}",default,CustomNetwork,Network
"[0, 1, 2]",{},2,2026-06-11 10:07:34,False,,,CustomNetwork,2,False,default,0,0,0,1,0,gibbs_demo,gibbs_demo,4,B,,,,True,False,False,False,,0,0,0,0,1,across,2,2,{},"{""target"": ""tree""}",default,CustomNetwork,Network
"[0, 1, 2]",{},3,2026-06-11 10:07:34,False,,,CustomNetwork,2,False,default,0,2,0,1,0,gibbs_demo,gibbs_demo,4,A,,,,True,False,False,False,,2,2,0,1,1,across,3,2,{},"{""target"": ""rock""}",default,CustomNetwork,Network
"[0, 1, 2]",{},4,2026-06-11 10:07:34,False,,,CustomNetwork,2,False,default,0,0,0,1,0,gibbs_demo,gibbs_demo,4,B,,,,True,False,False,False,,0,0,0,0,1,across,4,2,{},"{""target"": ""rock""}",default,CustomNetwork,Network
"[0, 1, 2]",{},5,2026-06-11 10:07:34,False,,,CustomNetwork,2,False,default,0,2,0,1,0,gibbs_demo,gibbs_demo,4,A,,,,True,False,False,False,,2,2,0,1,1,across,5,2,{},"{""target"": ""carrot""}",default,CustomNetwork,Network
"[0, 1, 2]",{},6,2026-06-11 10:07:34,False,,,CustomNetwork,2,False,default,0,0,0,1,0,gibbs_demo,gibbs_demo,4,B,,,,True,False,False,False,,0,0,0,0,1,across,6,2,{},"{""target"": ""carrot""}",default,CustomNetwork,Network
"[0, 1, 2]",{},7,2026-06-11 10:07:34,False,,,CustomNetwork,2,False,default,0,2,0,1,0,gibbs_demo,gibbs_demo,4,A,,,,True,False,False,False,,2,2,0,1,1,across,7,2,{},"{""target"": ""banana""}",default,CustomNetwork,Network
"[0, 1, 2]",{},8,2026-06-11 10:07:34,False,,,CustomNetwork,2,False,default,0,0,0,1,0,gibbs_demo,gibbs_demo,4,B,,,,True,False,False,False,,0,0,0,0,1,across,8,2,{},"{""target"": ""banana""}",default,CustomNetwork,Network
