arguments,vars,id,creation_time,failed,failed_reason,time_of_death,label,function,pending,finished,time_enqueued,time_started,time_finished,time_taken,queue_delay,_unique_key,participant_id,trial_maker_id,network_id,node_id,trial_id,response_id,asset_id,type,redis_job_id,timeout,timeout_scheduled_for,cancelled,class,object_type
"{""self"": {""py/object"": ""dallinger_experiment.experiment.CustomTrial"", ""identifiers"": {""id"": 1}}}",{},1,2026-06-11 10:09:25,False,,,post_trial,"{""py/function"": ""psynet.trial.main.Trial.call_async_post_trial""}",False,True,2026-06-11 10:09:25,2026-06-11 10:09:25,2026-06-11 10:09:26,1.0808081710019906,0.067501,"{""label"": ""post_trial"", ""function"": {""py/function"": ""psynet.trial.main.Trial.call_async_post_trial""}, ""arguments"": {""self"": {""py/object"": ""dallinger_experiment.experiment.CustomTrial"", ""identifiers"": {""id"": 1}}}}",1,gibbs_demo,,,1,,,WorkerAsyncProcess,,300.0,2026-06-11 10:14:25,False,WorkerAsyncProcess,AsyncProcess
"{""self"": {""py/object"": ""dallinger_experiment.experiment.CustomTrial"", ""identifiers"": {""id"": 2}}}",{},2,2026-06-11 10:09:57,False,,,post_trial,"{""py/function"": ""psynet.trial.main.Trial.call_async_post_trial""}",False,True,2026-06-11 10:09:57,2026-06-11 10:09:57,2026-06-11 10:09:58,1.0301920880010584,0.036153,"{""label"": ""post_trial"", ""function"": {""py/function"": ""psynet.trial.main.Trial.call_async_post_trial""}, ""arguments"": {""self"": {""py/object"": ""dallinger_experiment.experiment.CustomTrial"", ""identifiers"": {""id"": 2}}}}",1,gibbs_demo,,,2,,,WorkerAsyncProcess,,300.0,2026-06-11 10:14:57,False,WorkerAsyncProcess,AsyncProcess
"{""self"": {""py/object"": ""dallinger_experiment.experiment.CustomTrial"", ""identifiers"": {""id"": 3}}}",{},3,2026-06-11 10:10:12,False,,,post_trial,"{""py/function"": ""psynet.trial.main.Trial.call_async_post_trial""}",False,True,2026-06-11 10:10:12,2026-06-11 10:10:12,2026-06-11 10:10:13,1.02732780000224,0.030721,"{""label"": ""post_trial"", ""function"": {""py/function"": ""psynet.trial.main.Trial.call_async_post_trial""}, ""arguments"": {""self"": {""py/object"": ""dallinger_experiment.experiment.CustomTrial"", ""identifiers"": {""id"": 3}}}}",1,gibbs_demo,,,3,,,WorkerAsyncProcess,,300.0,2026-06-11 10:15:12,False,WorkerAsyncProcess,AsyncProcess
"{""self"": {""py/object"": ""dallinger_experiment.experiment.CustomTrial"", ""identifiers"": {""id"": 4}}}",{},4,2026-06-11 10:10:26,False,,,post_trial,"{""py/function"": ""psynet.trial.main.Trial.call_async_post_trial""}",False,True,2026-06-11 10:10:26,2026-06-11 10:10:26,2026-06-11 10:10:28,1.0278566209999553,0.0463,"{""label"": ""post_trial"", ""function"": {""py/function"": ""psynet.trial.main.Trial.call_async_post_trial""}, ""arguments"": {""self"": {""py/object"": ""dallinger_experiment.experiment.CustomTrial"", ""identifiers"": {""id"": 4}}}}",1,gibbs_demo,,,4,,,WorkerAsyncProcess,,300.0,2026-06-11 10:15:26,False,WorkerAsyncProcess,AsyncProcess
"{""self"": {""py/object"": ""dallinger_experiment.experiment.CustomTrial"", ""identifiers"": {""id"": 5}}}",{},5,2026-06-11 10:10:41,False,,,post_trial,"{""py/function"": ""psynet.trial.main.Trial.call_async_post_trial""}",False,True,2026-06-11 10:10:41,2026-06-11 10:10:41,2026-06-11 10:10:42,1.0297838449987466,0.027985,"{""label"": ""post_trial"", ""function"": {""py/function"": ""psynet.trial.main.Trial.call_async_post_trial""}, ""arguments"": {""self"": {""py/object"": ""dallinger_experiment.experiment.CustomTrial"", ""identifiers"": {""id"": 5}}}}",1,gibbs_demo,,,5,,,WorkerAsyncProcess,,300.0,2026-06-11 10:15:41,False,WorkerAsyncProcess,AsyncProcess
"{""self"": {""py/object"": ""dallinger_experiment.experiment.CustomTrial"", ""identifiers"": {""id"": 6}}}",{},6,2026-06-11 10:10:57,False,,,post_trial,"{""py/function"": ""psynet.trial.main.Trial.call_async_post_trial""}",False,True,2026-06-11 10:10:57,2026-06-11 10:10:57,2026-06-11 10:10:58,1.0316491150006186,0.03654,"{""label"": ""post_trial"", ""function"": {""py/function"": ""psynet.trial.main.Trial.call_async_post_trial""}, ""arguments"": {""self"": {""py/object"": ""dallinger_experiment.experiment.CustomTrial"", ""identifiers"": {""id"": 6}}}}",1,gibbs_demo,,,6,,,WorkerAsyncProcess,,300.0,2026-06-11 10:15:57,False,WorkerAsyncProcess,AsyncProcess
"{""self"": {""py/object"": ""dallinger_experiment.experiment.CustomTrial"", ""identifiers"": {""id"": 7}}}",{},7,2026-06-11 10:11:14,False,,,post_trial,"{""py/function"": ""psynet.trial.main.Trial.call_async_post_trial""}",False,True,2026-06-11 10:11:14,2026-06-11 10:11:14,2026-06-11 10:11:15,1.0292588510019414,0.035949,"{""label"": ""post_trial"", ""function"": {""py/function"": ""psynet.trial.main.Trial.call_async_post_trial""}, ""arguments"": {""self"": {""py/object"": ""dallinger_experiment.experiment.CustomTrial"", ""identifiers"": {""id"": 7}}}}",1,gibbs_demo,,,7,,,WorkerAsyncProcess,,300.0,2026-06-11 10:16:14,False,WorkerAsyncProcess,AsyncProcess
