vars,creation_time,failed,failed_reason,time_of_death,id,module_id,participant_id,time_started,time_finished,time_aborted,started,finished,aborted,type,participant_group,in_repeat_phase,performance_check,trials_to_repeat,repeat_trial_index,n_created_trials,n_completed_trials,trial_maker_initialized,block_order,block_position,block,participated_networks,n_participant_trials_in_trial_maker,n_participant_trials_in_block,class,object_type
{},2026-06-09 18:06:41,False,,,1,rock_paper_scissors,1,2026-06-09 18:06:41,,,True,False,False,ChainTrialMakerState,default,False,,,,1,1,True,"[""default""]",0,default,[1],1,1,ChainTrialMakerState,ModuleState
{},2026-06-09 18:06:41,False,,,2,rock_paper_scissors,2,2026-06-09 18:06:41,,,True,False,False,ChainTrialMakerState,default,False,,,,1,1,True,"[""default""]",0,default,[1],1,1,ChainTrialMakerState,ModuleState
