vars,id,creation_time,failed,failed_reason,time_of_death,type,network_id,participant_id,trial_maker_id,module_id,module_state_id,is_global,on_deploy_complete,async_on_deploy_required,async_on_deploy_requested,async_on_deploy_complete,async_on_deploy_failed,key,degree,target_n_trials,can_spawn,child_id,parent_id,seed,definition,context,participant_group,block,propagate_failure,n_viable_trials,class,object_type
{},1,2026-06-09 18:06:07,False,,,TrialSource,1,,rock_paper_scissors,rock_paper_scissors,,,True,False,False,False,False,,0,1000000,False,,,{},"{""color"": ""red""}",,default,default,False,2,StaticNode,Node
{},2,2026-06-09 18:06:07,False,,,TrialSource,2,,rock_paper_scissors,rock_paper_scissors,,,True,False,False,False,False,,0,1000000,False,,,{},"{""color"": ""green""}",,default,default,False,0,StaticNode,Node
{},3,2026-06-09 18:06:07,False,,,TrialSource,3,,rock_paper_scissors,rock_paper_scissors,,,True,False,False,False,False,,0,1000000,False,,,{},"{""color"": ""blue""}",,default,default,False,0,StaticNode,Node
